target	family	off_targets	target_self_corr	pred_off_corr_mean	pred_off_corr_max	exp_off_corr_mean	exp_off_corr_max	predicted_separability	exp_oracle_margin	tfscope_transfer_margin	case
ETV6	ETS	ERG;ETV4;ELF3;SPI1;Spi1;ELK4;ERF;ETS1	0.996	0.982	0.989	0.974	0.991	4.021	3.716	2.85	hard
ETV5	ETS	FEV;ETV1;ERF;ELK1;GABPA;ELF1;ERG;ELK4	0.998	0.991	0.998	0.959	0.996	0.289	0.29	0.04	hard
FLI1	ETS	EWSR1-FLI1;ETS1;ETV6;ETS2;ELF3;ELF1;GABPA;ELF5	0.978	0.878	0.975	0.889	0.994	0.8	1.686	0.55	hard
ERF	ETS	FEV;ETV5;ETV1;ERG;ELK4;GABPA;ELK1;ELF1	0.994	0.991	0.998	0.963	0.994	0.59	0.684	0.202	hard
ELF2	ETS	ETV1;ELF1;ELF4;GABPA;EHF;ELK4;ETV6;ETV4	0.987	0.984	0.998	0.936	0.994	0.469	0.712	-0.004	hard
EHF	ETS	ELF1;ELF4;ELF2;GABPA;ETV1;ELK4;ETV6;ETS1	0.817	0.98	0.997	0.838	0.944	0.488	2.126	-1.826	hard
ELK3	ETS	ERG;ELK4;ETV1;ETV5;ERF;FEV;GABPA;ELF1	0.936	0.942	0.957	0.964	0.995	1.068	0.245	-0.436	hard
SPIB	ETS	Spi1;SPI1;SPIC;ELK3;ETV3;ETV1;ETS1;ERG	0.419	0.549	0.657	0.885	0.946	3.673	1.617	-2.14	easy
ELK1	ETS	ETV1;ETV5;GABPA;ELF1;FEV;ELK4;ERF;ERG	0.952	0.989	0.997	0.941	0.985	0.96	4.077	-1.726	hard
ELF5	ETS	ETV6;ETS1;ELF3;ETV3;ELF1;GABPA;ETV1;EHF	0.936	0.91	0.953	0.923	0.968	2.374	0.936	-0.452	hard
ETV4	ETS	ETV1;ETV6;ELK4;GABPA;ELF1;ERG;FEV;ELK1	0.944	0.968	0.994	0.952	0.986	0.965	0.527	-0.824	hard
ETV7	ETS	ETV3;ETS2;ERF;ETV2;SPDEF;FEV;GABPA;ELF4	0.523	0.637	0.815	0.933	0.976	3.946	2.833	-0.168	easy
ETV2	ETS	ETV5;ERF;ETS2;FEV;ELK1;ELF1;ETV6;ERG	0.579	0.657	0.67	0.929	0.973	3.015	0.926	-1.143	easy
ETV3	ETS	ETV6;ETV4;ETV1;GABPA;SPI1;ELF1;SPIC;ELK4	0.868	0.919	0.942	0.901	0.988	1.544	1.066	-0.416	moderate
ELF4	ETS	ELF2;ELF1;GABPA;ETV1;EHF;ELK4;ELK1;ETV6	0.996	0.982	0.998	0.92	0.982	0.244	1.294	-1.087	hard
ELF1	ETS	GABPA;ELF2;ELF4;EHF;ETV1;ELK1;FEV;ETV5	0.873	0.994	0.999	0.852	0.933	0.28	1.451	0.336	hard
EWSR1-FLI1	ETS	FLI1;ETS1;ETV6;ETS2;ELF1;GABPA;ELF3;ETV1	0.992	0.886	0.975	0.859	0.994	1.951	-0.93	-0.033	hard
SPIC	ETS	ETV3;ETV1;SPI1;ETV6;ETV4;Spi1;ELK4;GABPA	0.636	0.849	0.913	0.849	0.93	2.312	3.609	0.332	moderate
FOXA3	Forkhead	FOXO4;FOXQ1;FOXK2;FOXO3;FOXN3;FOXA1;FOXC1;FOXP2	0.982	0.98	0.987	0.948	0.988	1.78	3.542	-0.019	hard
FOXP2	Forkhead	FOXO4;FOXG1;FOXO3;FOXN3;FOXK2;FOXL2;FOXA2;FOXL1	0.999	0.994	0.997	0.988	0.994	5.144	2.307	3.731	hard
FOXK2	Forkhead	FOXG1;FOXA2;FOXO3;FOXO4;FOXN3;FOXP2;FOXF1;FOXQ1	0.999	0.994	0.996	0.979	0.994	0.569	0.441	0.068	hard
Foxd3	Forkhead	FOXD3;FOXD2;FOXD1;FOXP2;FOXM1;FOXA1;FOXJ1;FOXF2	0.922	0.962	0.999	0.897	0.975	0.17	2.391	-0.272	hard
FOXO3	Forkhead	FOXN3;FOXP2;FOXK2;FOXA2;FOXG1;FOXO4;FOXH1;FOXQ1	0.976	0.993	0.999	0.918	0.994	0.47	0.61	-0.517	hard
FOXO1	Forkhead	FOXP2;FOXH1;FOXN3;FOXG1;FOXO3;FOXL2;FOXO4;FOXK2	0.983	0.949	0.97	0.876	0.99	1.709	1.725	0.228	hard
FOXM1	Forkhead	FOXP2;FOXL2;FOXQ1;FOXD3;Foxd3;FOXJ1;FOXC2;FOXD2	0.995	0.948	0.974	0.892	0.979	0.717	1.197	0.588	hard
FOXO4	Forkhead	FOXP2;FOXA2;FOXK2;FOXC1;FOXG1;FOXL1;FOXO3;FOXN3	0.998	0.993	0.997	0.973	0.994	0.876	1.343	0.651	hard
FOXA2	Forkhead	FOXK2;FOXO4;FOXO3;FOXN3;FOXQ1;FOXP2;FOXG1;FOXL1	0.976	0.991	0.995	0.955	0.991	0.735	1.885	0.639	hard
FOXC2	Forkhead	FOXC1;FOXQ1;FOXO4;FOXP2;FOXK2;FOXG1;FOXL2;FOXL1	0.99	0.983	0.997	0.945	0.99	0.35	2.319	-0.962	hard
FOXN3	Forkhead	FOXO3;FOXP2;FOXA2;FOXK2;FOXG1;FOXH1;FOXO4;FOXQ1	1.0	0.993	0.999	0.912	0.993	0.227	0.65	0.65	hard
FOXG1	Forkhead	FOXP2;FOXK2;FOXO4;FOXN3;FOXO3;FOXF1;FOXQ1;FOXH1	0.963	0.992	0.996	0.931	0.992	0.546	0.224	0.355	hard
FOXP1	Forkhead	FOXP2;FOXK1;FOXJ2;FOXI1;FOXQ1;FOXR2;FOXM1;FOXJ3	0.508	0.642	0.755	0.882	0.99	2.274	2.794	-1.0	easy
FOXC1	Forkhead	FOXC2;FOXO4;FOXQ1;FOXK2;FOXP2;FOXG1;FOXL1;FOXL2	0.936	0.988	0.997	0.853	0.931	0.143	1.896	-1.132	hard
FOXJ2	Forkhead	FOXQ1;FOXK1;FOXP2;FOXJ3;FOXF2;FOXG1;FOXK2;FOXF1	0.934	0.944	0.968	0.976	0.988	1.415	2.287	-0.981	hard
